Product Description	SKU	ASIN	Condition	Supplier	Price	Sales last 30 days (sales)	Sales last 30 days (units)	Total Inventory	Inbound Inventory	Available Inventory	Reserved - FC transfer	Reserved - FC processing	Reserved - Customer Order	Unfulfillable	Fulfilled by	Days of Supply	Instock Alert	Recommended Order Quantity	Recommended Order Date
Sebamed Sensitive Skin Cleansing Bar 3 Pack (10.5 ounce) - Hypoallergenic and Dermatologist Recommended.  No Detergents that may Irritate Skin Conditions	STSEB01475NA01	B007WNYZPY	New	unassigned	14.86	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock	0	
Gillette Foamy Shaving Cream, Regular - 11 oz - 2 pk	R1GIL24040NA02-FBA	B00J5IZPTO	New	unassigned	10.50	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock	0	
Tylenol Simply Sleep Nighttime Sleep Aid Caplets-100 count	MCCAP43104NA01-dt	B0014C2JQ6	New	unassigned	13.89	0.0	0	66	0	66	0	0	0	0	Amazon	365+			
Burt's Bees Facial Cleansing Towelettes, Pink Grapefruit 30 ea (Pack of 2)	MCBUR18143NA02-dt	B00JSK14LW	New	unassigned	14.29	473.45	33	49	2	41	6	0	0	0	Amazon	35	low_stock	14	11/16/2018
Jobst Relief 20-30 Thigh High Open Toe Beige Compression Stockings with Silicone Band, Large	MCREL42025NA01-FBA	B001O1LA44	New	unassigned	49.95	699.3	14	6	0	6	0	0	0	0	Amazon	10		8	11/16/2018
Luden's Honey Licorice Cough Throat Drops | Menthol Lozenge/Oral Anesthetic | 30-Count per pack | 5-Pack	STLUD10423NA05-FBA	B00620NBH6	New	unassigned	12.88	12.88	1	24	0	24	0	0	0	0	Amazon	365+			
Mack's Hear Plugs High Fidelity Ear Plugs - Musician Earplugs - 1 Pair (2 comfort tip sizes) - Clear	MCHEA00161NA01-FBA	B00BM23MPK	New	unassigned	14.61	160.5	11	58	0	58	0	1	0	0	Amazon	140		6	03/26/2019
Shea Moisture African Black Soap & Shea Butter Facial Wash & Scrub Cleansing for Men, 4 Ounce	MCSHE50814NA01-FBA	B076MG9Q21	New	unassigned	9.99	30.27	3	17	0	17	0	0	0	0	Amazon	84		0	
JOBST Relief 20-30 mmHg Compression Socks, Thigh High with Silicone Band, Beige, Large	MCNAN42100NA01-FBA	B0012XSPXS	New	unassigned	49.95	449.55	9	13	0	13	0	0	0	0	Amazon	56		3	01/01/2019
Con Thrm Self Grip Size 12pc	MCCON11178NA01-FBA	B005GMYRH4	New	unassigned	9.65	29.32	3	85	0	85	0	0	0	0	Amazon	365+			
Nature's Way Melatonin 2.5 mg Lozenge, 2 pk	MCMEL91119NA02-FBA	B00J11MIWM	New	unassigned	14.99	0.0	0	24	0	19	5	0	0	0	Amazon	365+			
Nature's Way Dandelion Root, 2 Count, 100 vegetarian capsules 525 mg	MCDAN23003NA02-FBA	B010OVLR42	New	unassigned	20.65	0.0	0	24	0	12	12	0	0	0	Amazon				
Old Spice High Endurance Pure Sport Antiperspirant Deodorant 0.5 Ounce Travel Size (Pack of 3)	STOLD00854NA03	B00FOXXF7I	New	unassigned	6.84	0.0	0	28	0	28	0	6	0	0	Amazon	365+			
Clean & Clear Essentials Foaming Facial Cleanser Sensitive Skin, 8 Ounce (Pack of 2)	MCCLE03387NA02-FBA	B002B4K8J6	New	unassigned	13.99	0.0	0	35	0	33	2	0	0	0	Amazon	365+			
Johnson & Johnson Red Cross Hospital Grade Gauze Pads 3"x3" - 25 ct	MCMED61263NA01-FBA	B00XM2IBYU	New	unassigned	8.20	16.4	2	10	0	10	0	3	2	0	Amazon	365+			
Summer's Eve Cleansing Cloth Simply Sensitive, 16 Count (Pack of 3)	MCSIM71104NA03-dt	B00CXVA4VE	New	unassigned	9.72	0.0	0	39	0	39	0	0	0	0	Amazon	365+			
Badger Organic Nursing Balm - Sunflower & Coconut - 0.75oz	MCBDG20046NA01-FBA	B01NAX47MX	New	unassigned	6.98	71.9	10	18	0	18	0	1	0	0	Amazon	20		9	11/27/2018
Burts Lip Shimmer Caramel Size .09z Burts Lip Shimmer Caramel .09z	MCBUR01220NA01-dt	B00IHBR7NW	New	unassigned	6.22	80.79	13	127	0	127	0	1	0	0	Amazon	245		11	07/10/2019
JOBST Relief 20-30 mmHg Compression Socks, Thigh High with Silicone Band, Black, Petite Small	MCREL17132NA01-FBA	B014F7PKQC	New	unassigned	49.95	0.0	0	17	0	17	0	1	0	0	Amazon	365+			
Nair Hair Removal Lotion, Cocoa Butter, 11.2 Ounce	MCNAI23399NA01-dt	B000GCW5CS	New	unassigned	9.30	565.63	60	166	0	166	0	6	0	0	Amazon	79		18	01/25/2019
Luden's Sugar Free Wild Cherry Cough Throat Drops | Soothes Your Throat & Tastes Great | 25 Drops | 1 Bag	MCSUG10539NA01-FBA	B0046UKVV8	New	unassigned	4.98	175.6	35	84	0	84	0	0	0	0	Amazon	70		12	01/16/2019
Cotton Mouth Dry Mouth Lozenges Fruit Mix Bag	V3COT31022NA01	B01N78QQHT	New	unassigned	7.68	449.0	67	108	46	62	0	3	1	0	Amazon	67		20	12/16/2018
Nature's Truth New Organic Aloe Vera Juice, 32 Fluid Ounce	MCNT 03703NA01-FBA	B06X9DVC6Q	New	unassigned	17.52	0.0	0	60	0	40	20	0	0	0	Amazon	216		8	06/11/2019
Scunci 55579 Topsy Tail® Kit	MCCON55793NA02-FBA	B01LNUHBK2	New	unassigned	8.39	114.1	13	271	0	271	0	2	0	0	Amazon	365+			
Black & White Skin Soap Bar 3.5 oz (Pack of 2)	MCSKI50106NA02-FBA	B01BS58UMA	New	unassigned	12.83	0.0	0	36	0	12	24	0	0	0	Amazon				
BAND-AID Tough-Strips Bandages, Extra Large 10 ea (Pack of 3)	STBAN44246NA03	B01IAHYSPW	New	unassigned	12.66	206.75	15	101	0	101	0	0	2	0	Amazon	71		3	01/17/2019
Powerstep Original Orthotics-U, Blue/Black, Men's 9-9.5, Women's 11-11.5	MCPOW00611NA01-FBA	B005AFHP8K	New	unassigned	29.65	148.1	6	86	0	86	0	0	0	0	Amazon	142		0	
JOBST Sport Knee High 15-20 mmHg Compression Socks, Black/Grey, X-Large	MCJOB13165NA01-FBA	B00K1KRBRE	New	unassigned	38.32	1110.7	29	40	0	27	13	0	0	0	Amazon	14		27	11/21/2018
Hot Focus Carry All Cosmetic Set - 20 Piece Unicorn Makeup Set for Girls Includes, Non-Toxic Nail Polish, Press on Nails, Glitter Eyeshadow, Tinted Lip Balms, Glitter and Carrying Case	MCCAR49366NA01-FBA	B079C6F752	New	unassigned	19.99	239.88	12	112	0	108	4	3	5	0	Amazon	213		5	06/08/2019
Cold-EEZE Cold Remedy Lozenges Honey Lemon Flavor, 18 Count, Cold Remedy Lozenges, 1 Pharmacist Recommended, Shortens Colds	STCOL01250NA01	B000KOPX4O	New	unassigned	5.40	18.6	3	112	0	112	0	3	0	0	Amazon	365+			
Powerstep Unisex Pinnacle Plus Red Insole	MCPOW12089NA01-FBA	B01FWN2WQO	New	unassigned	36.63	1432.12	38	3	0	3	0	1	0	1	Amazon	2	low_stock	20	11/16/2018
Fairy Tales Rosemary Repel Daily Kid Shampoo for Lice Prevention - 32 oz	STROS01516NA01	B002OJDJ6M	New	unassigned	23.70	9819.8	414	2	1	0	1	4	23	0	Amazon	0	low_stock	186	11/16/2018
Hot Focus Unicorn Secret Diary with LED Book Light, Invisible Ink Pen and Sticker Set – 6” Journal Notebook with 100 Double Sided Lined Pages for Kids	MCTOP49540NA01-FBA	B074D63G61	New	unassigned	17.85	411.97	23	53	0	45	8	2	3	0	Amazon	26		23	12/03/2018
Aquanil Cleanser 16 Fl. Oz., 3 Count	R1AQU72416NA03-FBA	B0064FTVZ0	New	unassigned	42.99	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
OLLY Super Foods Protein Powder, 15g Plant-Based Protein, Super Berry, 20.4oz (15 Servings)	STOLL05794NA01-dt	B07144LCVG	New	unassigned	41.73	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Sebamed Q10 Age Defense Face Cream, 1.69 Fluid Ounce	STQ1001307NA01	B00AEO3A54	New	unassigned	41.18	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Nature's Truth Absorbable Calcium 1200 mg plus D3 5000 IU per Serving Quick Release Softgels - 120 ct, Pack of 2	MCCAL00672NA02-FBA	B0741H7GQF	New	unassigned	28.37	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Johnsons Baby Head-To-Toe Cleansing Cloths (3 Pack)	MCHEA68699NA03-FBA	B01M09YJID	New	unassigned	26.79	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Pilot G2 Gel Ink Refill, 2-Pack for Rolling Ball Pens, Fine Point, Black Ink (77240)	V2NAN72404NA01	B00006IEC6	New	unassigned	7.40	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock	0	
DenTek Kids Fun Flossers Wild Fruit | 75-Count Floss Picks | 2-Pack	MCKID02100NA01-FBA	B01IADZ9LI	New	unassigned	7.52	0.0	0	36	36	0	0	0	0	0	Amazon				
NasalCrom Nasal Allergy Symptom Controller | 100 Metered Sprays | .44 fl oz	STNAS11031NA01	B001V9QW3I	New	unassigned	13.32	0.0	0	168	168	0	0	0	0	0	Amazon				
Sulfur8 Conditioner Light Formula, Anti-dandruff 7.25 oz (Pack of 4)	MCLIG37102NA04-FBA	B01IAE0J3A	New	unassigned	53.21	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
Earth Rated Leash Dispenser for Dog Waste Bags, Includes 15 Unscented Poop Bags	MCBAG00376NA01-FBA	B00R3H8FJG	New	unassigned	6.92	0.0	0	240	240	0	0	0	0	0	Amazon				
Palmer's Coconut Oil Body Oil, 5.1 Ounce	V3PAL32707NA01	B00ZFWJLTY	New	unassigned	8.40	16.8	2	115	30	85	0	0	0	0	Amazon	365+			
NeilMed Sinus Rinse All Natural Relief Premixed Refill Packets 100 Each	STNEI02005NA01	B00TU5P33K	New	unassigned	14.80	0.0	0	76	0	76	0	0	0	0	Amazon	365+			
Fleet Children's Pedia-Lax Liquid Glycerin Suppositories - 6 Suppositories	STFLE90120NA01-dt	B000SD6BS4	New	unassigned	9.87	7.9	1	92	0	92	0	0	0	0	Amazon	365+			
Fairy Tales Rosemary Repel Daily Kid Conditioning Spray for Lice Prevention - 8 oz	STROS02018NA01	B000O7JK0A	New	unassigned	11.56	9.99	1	0	0	0	0	0	0	0	Amazon	0	out_of_stock	0	
Boiron Silicea 6C (80 Pellet)	MCSIL84084NA01-FBA	B0006NYI2M	New	unassigned	9.92	0.0	0	24	24	0	0	0	0	0	Amazon				
Boiron Sepia 30C (80 Pellets)	MCSEP77130NA01-FBA	B006H9T4FA	New	unassigned	9.92	0.0	0	24	24	0	0	0	0	0	Amazon				
BOIRON USA - Candida Albicans 30c [Health and Beauty]	MCCAN62131NA01-FBA	B0006PKM0W	New	unassigned	9.92	0.0	0	24	24	0	0	0	0	0	Amazon				
Plackers Whitening Right Angle Flossers - 25 Count (Pack of 6)	MCPLA55066NA06-FBA	B00JAZAWFY	New	unassigned	13.47	57.26	3	19	0	19	0	0	0	0	Amazon	281		2	08/13/2019
Diphenhist Oral Solution *Compare to Benadryl*	STALL70854NA01-dt	B00367KSCY	New	unassigned	10.79	235.68	24	43	0	43	0	0	0	0	Amazon	86		6	01/02/2019
PINXAV DIAPER RASH CREAM 4 OZ	R3PIN13001NA01	B001V9FOPA	New	unassigned	8.57	382.14	47	80	80	0	0	1	0	0	Amazon	40		20	11/17/2018
SheaMoisture Manuka Honey & Mafura Oil Intensive Hydration Hand Cream, 3.2 oz	MCSHE31080NA01-FBA	B00OAJUMNC	New	unassigned	8.41	1337.59	159	0	0	0	0	0	0	0	Amazon	0	out_of_stock	81	11/16/2018
Thermotabs Salt Supplement Buffered Tablets 100 ea	V1THE86335NA01	B00143XNRE	New	unassigned	8.99	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock	0	
Badger Balm SPF 35 Sport Sunscreen Cream- 2.9 oz	634084476002	B00CQ7QN8I	New	unassigned	13.35	1098.1	79	0	0	0	0	1	0	0	Amazon	0	out_of_stock	18	11/16/2018
Conair Brush Rollers, Curl & Body 36 pieces	MCCON11468NA01-FBA	B007D4SD0K	New	unassigned	10.20	41.03	4	44	0	44	0	0	0	0	Amazon	338		2	10/09/2019
Sundown Naturals Folic Acid 400 Mcg, 350 Count	3076804069	B00AZ43QMA	New	unassigned	5.84	77.22	13	105	50	55	0	0	0	0	Amazon	32	low_stock	17	11/16/2018
Arnica 30 C Great Value 3 Tubes Pack Boiron 3 Tubes	MCARN97249NA01-FBA	B004V9ICTM	New	unassigned	15.56	0.0	0	144	144	0	0	0	0	0	Amazon				
Neutrogena Hydro Boost Hydrating Lip Shine, Soft Blush 10, 0.10 Ounce	STNEU38441NA01-dt	B01LETUSFC	New	unassigned	9.54	419.2	44	0	0	0	0	0	0	0	Amazon	0	out_of_stock	12	11/16/2018
Mead Single Subject Wireless Notebook, Wide Ruled (05222)	V1MEA05222NA01	B0000AQOH0	New	unassigned	7.50	0.0	0	48	0	48	0	0	0	0	Amazon	365+			
Conair Styling Essentials Bouffant Shower Cap Assorted Color, 0.8 Ounce	MCCON55281NA01-FBA	B005GMYN00	New	unassigned	5.52	211.13	35	61	0	61	0	0	0	0	Amazon	49		14	12/24/2018
Tagamet Acid Reducer, 200mg, 30-count Tablets, 30 Count	V4TAG03637NA01	B00ANL5AUQ	New	unassigned	15.66	0.0	0	0	0	0	0	1	0	0	Amazon	0	out_of_stock	0	
Nexcare Waterproof Clear Bandage, One Sizes, 20 ct Packages (Pack of 4)	V1NEX99525NA04	B002CVV680	New	unassigned	12.45	487.63	39	30	30	0	0	0	0	0	Amazon	15	low_stock	14	11/16/2018
Ezy Dose Weekly 4x/Day Push Button Medtime Planner Pill Reminder (2XL)	MCEZY67583NA01-FBA	B001TEWKMM	New	unassigned	12.48	645.09	48	0	0	0	0	0	0	0	Amazon	0	out_of_stock	20	11/16/2018
TRISWIM Chlorine Removal Swimmers Conditioner Moisturizing Hair Repair	MCTRI00002NA01-FBA	B00173B6IE	New	unassigned	15.66	0.0	0	96	96	0	0	0	0	0	Amazon				
BSN Med/-Beiersdorf/Jobst Jobst Armsleeve with Silicone Band, Large, Beige, 20-30 mmhg, 0.16 Pound	MCJOB13363NA01-FBA	B0012XUO64	New	unassigned	61.94	116.62	2	21	0	21	0	0	0	0	Amazon	117		2	03/02/2019
Maui Babe SPF 30 Sunscreen Lotion 8 Ounces - Water Resistant UVA/UVB Sunblock	MCMAU00142NA01-FBA	B00076XSGK	New	unassigned	13.49	208.58	15	58	0	58	0	0	0	0	Amazon	101		9	02/14/2019
Children’s Tylenol Chewables, Bubblegum, 24 Ct.	V3TYL19245NA01	B01M1JVMOQ	New	unassigned	9.65	0.0	0	97	0	97	0	0	0	0	Amazon	87		0	
Curad Hold Tite Tubular Stretch Bandage Large Dressing (5 Yards)	8019630524	B001MZKTI0	New	unassigned	6.00	664.66	97	20	20	0	0	0	0	0	Amazon	7	low_stock	24	11/16/2018
Aveeno Daily Moisturizing Yogurt Body Cream for Dry Skin with Vanilla Scent & Soothing Oat, 7 oz	MCBOD68231NA03-FBA	B01LTHKWDM	New	unassigned	26.11	287.21	11	0	0	0	0	2	0	0	Amazon	0	out_of_stock	6	11/16/2018
HIBICLENS LIQ 8 OZ	0234057508	B00E5R65SA	New	unassigned	10.71	1595.79	149	239	98	141	0	0	0	0	Amazon	54		50	12/02/2018
Gaviscon Extra Strength Antacid Chewable Tablets Cherry Flavor 100 TB - Buy Packs and SAVE (Pack of 2)	V1GAV17325NA02	B01LY1IXGU	New	unassigned	24.79	0.0	0	0	0	0	0	0	0	0	Amazon	0	out_of_stock		
TYLENOL Cold Max Nighttime Cool Burst Liquid 8 oz	MCNIG69089NA01-FBA	B00BK6PXPU	New	unassigned	10.20	373.7	36	57	0	57	0	0	0	0	Amazon	63		6	01/09/2019
Scunci Non Slip Curved Bobby Pins, Blonde, 1.6 Ounce	MCCON96801NA01-FBA	B00X8E1W3Y	New	unassigned	5.79	42.25	7	38	0	38	0	1	0	0	Amazon	68		5	01/13/2019
Capri Essentials Natural Hand Soap with Essential Oils – Lemon Verbena, 16 oz.	MCCAP20157NA01-FBA	B01I4MVLSA	New	unassigned	9.97	239.96	24	5	0	5	0	0	0	0	Amazon	5	low_stock	12	11/16/2018
Conair Perfect Pony 4 Piece Kit	MCCON55755NA01-FBA	B004RTMO9U	New	unassigned	6.80	384.67	56	223	0	223	0	1	0	0	Amazon	156		12	04/11/2019
